1 | 1 | de2 1 CAN YOU SPEAK ENGLISH? | YES | NO | A LITTER | GOOD | A LITTER |
2 | 1 | de2 2 CAN YOU SPEAK VIETNAMESE? | YES | NO | A LITTER | GOOD | GOOD |
3 | 1 | de2 3 CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
4 | 1 | de2 4 CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
5 | 1 | de2 5 CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
6 | 1 | de2 6 CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
7 | 1 | de2 7 CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
8 | 2 | de2 8 CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
9 | 2 | de2 9 CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
10 | 2 | de2 10 CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
11 | 2 | de2 11 CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
12 | 2 | de2 12 CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
13 | 2 | de2 13 CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
14 | 2 | de2 14 CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
15 | 3 | de2 15 CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
16 | 3 | de2 16 CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
17 | 3 | de2 17 CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
18 | 3 | de2 18 CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
19 | 3 | de2 19 CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
20 | 3 | de2 20 CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
21 | 3 | de2 21 CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
22 | 3 | de2 22 CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
23 | 3 | de2 23 CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
