1 | 1 | CAN YOU SPEAK ENGLISH? | YES | NO | A LITTER | GOOD | A LITTER |
2 | 1 | CAN YOU SPEAK VIETNAMESE? | YES | NO | A LITTER | GOOD | GOOD |
3 | 1 | CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | GOOD |
4 | 1 | CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | GOOD |
5 | 1 | CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | GOOD |
6 | 1 | CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | GOOD |
7 | 1 | CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | GOOD |
8 | 2 | CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | GOOD |
9 | 2 | CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | GOOD |
10 | 2 | CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | GOOD |
11 | 2 | CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | GOOD |
12 | 2 | CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | GOOD |
13 | 2 | CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | GOOD |
14 | 2 | CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | GOOD |
15 | 3 | CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | GOOD |
16 | 3 | CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | GOOD |
17 | 3 | CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | GOOD |
18 | 3 | CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | GOOD |
19 | 3 | CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | GOOD |
20 | 3 | CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | GOOD |
21 | 3 | CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | GOOD |
22 | 3 | CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | GOOD |
23 | 3 | CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | GOOD |
