1 | 1 | 1CAN YOU SPEAK ENGLISH? | YES | NO | A LITTER | GOOD | A LITTER |
2 | 1 | 2CAN YOU SPEAK VIETNAMESE? | YES | NO | A LITTER | GOOD | GOOD |
3 | 1 | 3CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
4 | 1 | 4CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
5 | 1 | 5CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
6 | 1 | 6CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
7 | 1 | 7CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
8 | 2 | 8CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
9 | 2 | 9CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
10 | 2 | 10CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
11 | 2 | 11CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
12 | 2 | 12CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
13 | 2 | 13CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
14 | 2 | 14CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
15 | 3 | 15CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
16 | 3 | 16CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
17 | 3 | 17CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
18 | 3 | 18CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
19 | 3 | 19CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
20 | 3 | 20CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
21 | 3 | 21CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
22 | 3 | 22CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
23 | 3 | 23CAN YOU SPEAK JAPANESE? | YES | NO | A LITTER | GOOD | A LITTER |
